road_address,building_name,unit_est
"강원특별자치도 평창군 대관령면 솔봉로 278-45, 278-43 A,B동",평창 루체포레 풀빌라,4.0
"강원특별자치도 평창군 대관령면 차항길 172-14, 101,102,103동",오다109,3.0
강원특별자치도 평창군 대화면 가평로 653-40,샤이니힐스파크,7.0
강원특별자치도 평창군 봉평면 경강로 464-7,평화와번창,8.0
강원특별자치도 평창군 봉평면 두리봉길 30,펜스토리,14.0
강원특별자치도 평창군 봉평면 무이진등길 77-15,소노펠리체,5.0
강원특별자치도 평창군 봉평면 무이진등길 77-15,리조트팰리즈,15.0
강원특별자치도 평창군 봉평면 무이진등길 77-70,아침의소리,4.0
강원특별자치도 평창군 봉평면 무이진등길 77-77,언더힐펜션(Under Hill pension),5.0
강원특별자치도 평창군 봉평면 백운동길 198-9,휴700,22.0
강원특별자치도 평창군 봉평면 백운동길 45,샤인밸리,16.0
강원특별자치도 평창군 봉평면 버들개길 21-18 (21-13),별마루펜션,2.0
강원특별자치도 평창군 봉평면 봉평북로 250-81,산들꽃펜션,8.0
강원특별자치도 평창군 봉평면 설다목길 54,하울마루,12.0
강원특별자치도 평창군 봉평면 안흥동1길 76,자연에 품,13.0
강원특별자치도 평창군 봉평면 안흥동1길 87,숲속작은개울,4.0
"강원특별자치도 평창군 봉평면 안흥동길 132-1, 132-3, 132-4",숲속의 이글루,5.0
"강원특별자치도 평창군 봉평면 안흥동길 70-48, W3알페라츠",메이페어 알페라츠,18.0
강원특별자치도 평창군 봉평면 안흥동길 70-51,길손이야기,4.0
"강원특별자치도 평창군 봉평면 안흥동길 70-53, S4 카펠라",허니베어펜션,6.0
강원특별자치도 평창군 봉평면 안흥동길 70-55,휴식공장 평창펜션,6.0
강원특별자치도 평창군 봉평면 안흥동길 70-83,숲속의평창,5.0
"강원특별자치도 평창군 봉평면 안흥동길 70-83, 70-87",메이페어 나르샤,12.0
"강원특별자치도 평창군 봉평면 안흥동길 70-86, ST3동",메이페어로뎀나무,4.0
강원특별자치도 평창군 봉평면 안흥동길 70-99,하늘닿은펜션,8.0
강원특별자치도 평창군 봉평면 안흥동길 85,마메별,9.0
강원특별자치도 평창군 봉평면 직동길 148 (외 1필지),휘겔하임,13.0
"강원특별자치도 평창군 봉평면 직동길 94-47, 가동 (휘닉스에메랄드1차)",휘닉스에메랄드,5.0
"강원특별자치도 평창군 봉평면 진조1길 22, 101~109호",풀멍,9.0
강원특별자치도 평창군 봉평면 진조1길 43-7,평창현대스위트빌리지,13.0
강원특별자치도 평창군 봉평면 태기로 266,266호텔,29.0
강원특별자치도 평창군 봉평면 태기로 93,화이트캐빈,20.0
"강원특별자치도 평창군 봉평면 팔송로 111-21, 510동 (숲속의요정)",숲속의요정 분점,8.0
강원특별자치도 평창군 봉평면 평온길 14-13,베리온리조트,14.0
강원특별자치도 평창군 봉평면 평온길 14-13,베리온리조트2,18.0
강원특별자치도 평창군 봉평면 평온길 14-13 (외 1필지),베리온리조트1,12.0
강원특별자치도 평창군 봉평면 흥정계곡1길 9-12,비블로스,5.0
강원특별자치도 평창군 봉평면 흥정계곡2길 28-7,파밀리아 펜션,4.0
강원특별자치도 평창군 봉평면 흥정계곡4길 208,꽁블,4.0
"강원특별자치도 평창군 봉평면 흥정계곡4길 212-27, 가,나,다,라동",가재와곰펜션,3.0
강원특별자치도 평창군 봉평면 흥정계곡길 410,바다내음펜션,9.0
"강원특별자치도 평창군 봉평면 흥정계곡길 82-2, A·B·C·D·E·F·G동",노스텔지어,10.0
강원특별자치도 평창군 용평면 양지길 64,솔숲,14.0
"강원특별자치도 평창군 용평면 이승복생가길 160, 노동계곡캠핑장 4,5,6동",계방산 오토캠핑장,4.0
강원특별자치도 평창군 진부면 간평길 233-2,숲사이길펜션,20.0
"강원특별자치도 평창군 진부면 방아다리로 264-56, 264-97",우린,2.0
강원특별자치도 평창군 진부면 사남산길 31,새솔펜션,8.0
강원특별자치도 평창군 진부면 상마평길 103,마평관광농원,6.0
강원특별자치도 평창군 진부면 탑동길 108-50,서림원,11.0
강원특별자치도 평창군 진부면 하오개길 207-40,연스테이,3.0
"강원특별자치도 평창군 진부면 한산동모낼길 41-11, 2동,3동,4동",어머니 품속마을펜션,5.0
강원특별자치도 평창군 평창읍 살구실길 53-10,청성펜션,7.0
강원특별자치도 홍천군 남면 명동길 97-8,홍천힐링하우스,
강원특별자치도 홍천군 내면 광원새터길 11-22,오대산별장,
강원특별자치도 홍천군 내면 광원새터길 174,외갓집펜션,
강원특별자치도 홍천군 내면 구룡령로 5040,리라빌,
강원특별자치도 홍천군 내면 밤바치길 1301-11,호랑소펜션,
강원특별자치도 홍천군 내촌면 아홉사리로 164-46,리버뷰소나무펜션,
강원특별자치도 홍천군 두촌면 광석로 885-7,바회마을 초가체험촌,
강원특별자치도 홍천군 두촌면 광석로 898-87,세이지우드홍천호텔,
강원특별자치도 홍천군 두촌면 부채들길 29,가람리조트,
강원특별자치도 홍천군 북방면 노루목길 66,Mong9Mong9Haus,
강원특별자치도 홍천군 북방면 노일로 144,노일리강마을B,
강원특별자치도 홍천군 북방면 노일로 144-5,노일리강마을C,
강원특별자치도 홍천군 북방면 노일로 146,노일리강마을A,
강원특별자치도 홍천군 북방면 노일로 206-7,빌리지736-1,
강원특별자치도 홍천군 북방면 노일로 206-9,빌리지736,
강원특별자치도 홍천군 북방면 노일로 216-10,노지(빌라모자이크),
강원특별자치도 홍천군 북방면 노일로 216-7,"첨벙,다락(빌라모자이크)",
강원특별자치도 홍천군 북방면 노일로 216-8,모닥(빌라모자이크),
강원특별자치도 홍천군 북방면 노일로238번길 72-10,코코애견펜션,
강원특별자치도 홍천군 북방면 노일로238번길 99,홍천팬션위드엘,
강원특별자치도 홍천군 북방면 도사곡길 378-2,까미노데플로레스타1,
강원특별자치도 홍천군 북방면 도사곡길 378-4,까미노데플로레스타2,
"강원특별자치도 홍천군 북방면 반석들길 3, 주 3,5,7동",운공의 밤,
강원특별자치도 홍천군 북방면 장항2길 14-3,헤리티스2,
강원특별자치도 홍천군 북방면 장항2길 14-5,헤리티스,
강원특별자치도 홍천군 북방면 장항2길 18,산하연,
강원특별자치도 홍천군 북방면 장항2길 20,산다온 풀빌라,
강원특별자치도 홍천군 북방면 팔봉산로 1832-47,스톤브라운,
강원특별자치도 홍천군 서면 감물악길 105,바우하우스 105,
강원특별자치도 홍천군 서면 굴업솔골길 111,올라운드원벨라,
강원특별자치도 홍천군 서면 굴업솔골길 113,올라운드원3단지,
강원특별자치도 홍천군 서면 굴업솔골길 115,올라운드원2단지,
강원특별자치도 홍천군 서면 굴업솔골길 117,올라운드 원,
강원특별자치도 홍천군 서면 굴업솔골길 25,오캄럭스클럽H,
강원특별자치도 홍천군 서면 굴업솔골길 29,오캄럭스클럽3단지,
강원특별자치도 홍천군 서면 굴업솔골길 31,오캄럭스클럽2단지,
강원특별자치도 홍천군 서면 굴업솔골길 33,오캄럭스클럽1단지,
강원특별자치도 홍천군 서면 굴업솔골길 60-13,홍천펜션아이리스별동,
강원특별자치도 홍천군 서면 굴업솔골길 60-23,홍천펜션아이리스,
강원특별자치도 홍천군 서면 굴업솔골길 63,플라네르 Hongcheon,
강원특별자치도 홍천군 서면 굴업솔골길 82-1,리틀비발디(KE동),
강원특별자치도 홍천군 서면 굴업솔골길 82-3,리틀비발디(KD동),
강원특별자치도 홍천군 서면 굴업솔골길 82-4,리틀비발디(KB동),
강원특별자치도 홍천군 서면 굴업솔골길 82-5,리틀비발디(KC동),
강원특별자치도 홍천군 서면 굴업솔골길 84-12,지안펜션,
강원특별자치도 홍천군 서면 굴업솔골길 84-20,주식회사 욜로와,
강원특별자치도 홍천군 서면 굴업솔골길 84-22,주식회사 욜로와2호,
강원특별자치도 홍천군 서면 굴업솔골길 84-24,욜로와5호,
강원특별자치도 홍천군 서면 굴업솔골길 84-26,홍천욜로와,
강원특별자치도 홍천군 서면 굴업솔골길 84-28,욜로와7호,
강원특별자치도 홍천군 서면 도롱골길 229,홍천펜션&글램핑캠프별이빛나는밤,
강원특별자치도 홍천군 서면 도롱골길 59-1,팔담채,
강원특별자치도 홍천군 서면 도롱골길147번길 29,가람스테이3,
강원특별자치도 홍천군 서면 도롱골길147번길 31,가람스테이2,
강원특별자치도 홍천군 서면 마곡길 153,마루마리,
강원특별자치도 홍천군 서면 마곡길 157,마루마리,
강원특별자치도 홍천군 서면 마곡길 220,몬테리오,
강원특별자치도 홍천군 서면 마곡길 477-6,명월팬션,
강원특별자치도 홍천군 서면 상귀량길 193,반스힐 리조트,
"강원특별자치도 홍천군 서면 상귀량길 193, 11동 1호",(주)반스힐리조트 주11동1호,
"강원특별자치도 홍천군 서면 상귀량길 193, 11동 2호",(주)반스힐리조트 주11동2호,
"강원특별자치도 홍천군 서면 상귀량길 193, 1동 2호",반스힐리조트,
"강원특별자치도 홍천군 서면 상귀량길 193, 1동1호,3동,9동,10동1호, 10동2호, 12동, 13동2호, 13동3호",반스힐리조트 1동1호 외,
"강원특별자치도 홍천군 서면 상귀량길 193, 2동 1호",(주)반스힐리조트 주2동1호,
